"county_fips","rfrnc_yr","num_smoke_days","pm2.5"
"35009",2007,7,NA
"35009",2008,7,NA
"35009",2009,7,NA
"35009",2010,1,NA
"35009",2011,29,NA
"35009",2012,50,NA
"35009",2013,34,NA
"35009",2014,8,NA
"35009",2015,11,NA
"35009",2016,10,NA
"35009",2017,32,NA
"35009",2018,23,NA
"35009",2019,13,NA
