year,smoke_days,num_WF,payroll,rate_of_change_pr
2007,7,3976,454463171,24023723.0
2008,7,3650,487603532,33140361.0
2009,7,3793,492182684,4579152.0
2010,1,3796,502478168,10295484.0
2011,29,5636,525486234,23008066.0
2012,50,4063,564475090,38988856.0
2013,34,3305,554054083,-10421007.0
2014,8,3568,576369757,22315674.0
2015,11,4110,596132214,19762457.0
2016,10,4725,594266091,-1866123.0
2017,32,4765,602950163,8684072.0
2018,23,4596,593194346,-9755817.0
2019,13,4050,621644795,28450449.0
