year,smoke_days,num_WF,payroll,rate_of_change_pr
2007,7,3976,17053627,1490691.0
2008,7,3650,20152738,3099111.0
2009,7,3793,22019678,1866940.0
2010,1,3796,23200037,1180359.0
2011,29,5636,24059207,859170.0
2012,50,4063,27395275,3336068.0
2013,34,3305,25928458,-1466817.0
2014,8,3568,31730011,5801553.0
2015,11,4110,33305469,1575458.0
2016,10,4725,34733515,1428046.0
2017,32,4765,35844278,1110763.0
2018,23,4596,35909989,65711.0
2019,13,4050,41286863,5376874.0
